url,name,street_address,city,district,state_region,postal_code,country,country_code,latitude,longitude,distinction,green_star,award_year,cuisine,full_genre,price_symbol,chef,phone,website,description,green_star_quote,image_url,facilities,tags,hotel,accepts_reservations,online_booking,booking_partner,review_date,michelin_id,restaurant_id
https://guide.michelin.com/us/en/hong-kong-region/hong-kong/restaurant/amber569032,Amber (already done),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://guide.michelin.com/us/en/ile-de-france/paris/restaurant/le-gabriel476630,Le Gabriel (already done),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://guide.michelin.com/us/en/provence-alpes-cote-dazur/marseille/restaurant/le-petit-nice,Le Petit Nice,17 rue des Braves (Anse de Maldormé),Marseille,,Provence-Alpes-Côte d'Azur,13007,FRA,FR,43.2802565,5.3520484,3 Stars,False,2026,Seafood,Seafood,$$$$,,+33 4 91 59 25 92,https://www.passedat.fr,"Descended from a family of artists, Gérald Passédat was practically born in his restaurant a few metres from the sea, which ""nourishes and inspires [him]"". The Mediterranean, its fish and shellfish are the backbone of his culinary identity. The chef crafts precise and pared-back seafood-forward cuisine that is personal to him; absolute freshness and the use of ingredients in their entirety are key. Highlights from the menu include the yellowtail and black sea bream duo, raw and smoked in-house, accompanied by cauliflower, Oscietra caviar and bottarga, and the remarkable red mullet prepared in a variety of ways: cooked au naturel, matured and raw, or charcuterie-style, with a star anise consommé. Many of the robust and carefully crafted sauces and broths are made using heads, livers and cooking juices. The ""Ma Bouille Abaisse"" set menu unfolds in a fascinating sequence of flavours. Over 65 species, caught with longlines and with consideration for the marine ecosystem, are featured over the course of the seasons. The breathtaking view of the Mediterranean adds to the feeling of abundance. The attentive yet discreet service is pitch perfect.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/2ff66723041b40cba327f9efc2c37634.jpg?width=1000,Air conditioning|Car park|Great view|Interesting wine list|Terrace|Wheelchair access,Iconic|Eat like a local,Le Petit Nice,Yes,True,thefork,2026-03-16T01:34,134209,11752
https://guide.michelin.com/us/en/bourgogne-franche-comte/chagny/restaurant/maison-lameloise,Maison Lameloise,36 place d'Armes,Chagny,,Burgundy-Franche-Comte,71150,FRA,FR,46.9079723,4.7530292,3 Stars,False,2026,Modern Cuisine,Modern Cuisine,$$$$,,+33 3 85 87 65 65,https://www.lameloise.fr/,"It's impossible to sum up in just a few lines the story of this institution, whose star-studded career begun back in… 1926! Yet, Lameloise, whose interior features a string of warm, cosy dining rooms, each of which is appointed individually, is far from nostalgic. Éric Pras, former sous-chef to Jacques Lameloise, became head chef in 2009 when his mentor retired; as Éric puts it: ""Tradition is the future."" Faithful to the venue’s founding spirit, as inspired as he is meticulous, Pras pays homage to Burgundy's terroir (snails, Bresse poultry, Charolais beef, Morvan hazelnut cazette) whilst keeping pace with his era and today’s tastes. They serve a fine selection of wines, especially by the glass.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/a34d7a2fc3d14eed88a23504d62a4b37.jpg?width=1000,Air conditioning|Interesting wine list,Iconic,Maison Lameloise,Yes,True,thefork,2026-03-16T01:30,133931,10582
https://guide.michelin.com/us/en/greater-london/london/restaurant/alain-ducasse-at-the-dorchester,Alain Ducasse at The Dorchester,"The Dorchester Hotel, 53 Park Lane, Mayfair",London,Central London - City of Westminster,Greater London,W1K 1QA,GBR,GB,51.5073381,-0.152575,3 Stars,False,2026,French,French,$$$$,,+44 20 7629 8866,https://www.alainducasse-dorchester.com/,"As soon as you are welcomed with warmth and charisma by the outstanding service team, you know you're in for a special experience at this jewel of a restaurant. The chefs achieve a perfect blend of modernity and classicism, combining seasonal dishes that embrace Alain Ducasse's beloved 'naturalité' with a roster of his signature recipes – such as the peerless rum baba, a dessert that consistently delivers culinary ecstasy. Underpinning it all are outstanding ingredients, technical mastery and miraculous balance in dishes that can be at once intense and fresh, both rich and delicate.",,https://axwwgrkdco.cloudimg.io/v7/__gmpics3__/3c7d6b52fd0b442f9f49b3d16b21e5df.jpeg?width=1000,Air conditioning|Interesting wine list|Valet parking|Wheelchair access,Iconic,"The Dorchester, Dorchester Collection",Yes,True,thefork,2026-02-09T01:27,131942,214656
